,Title,Section,URL,Act_Name,Date,Document Num,CompleteAct_URL,CompleteAct_DocNum,Headline
20,"Section 1 in The Criminal Law Amendment Act,   1961",Section 1,https://indiankanoon.org/doc/1597624/,TheCriminalLawAmendmentAct,1961,1597624,https://indiankanoon.org/doc/258943/,258943,"
    Central Government Act  Section 1 in The Criminal Law Amendment Act,   1961   1.    (1)   Short title and extent. This ... called the Criminal Law Amendment Act,  1961 .     (2)   It extends to the whole of India except the State of Jammu 
  "
21,"Section 4 in The Criminal Law Amendment Act,   1961",Section 4,https://indiankanoon.org/doc/852691/,TheCriminalLawAmendmentAct,1961,852691,https://indiankanoon.org/doc/258943/,258943,"
    Central Government Act  Section 4 in The Criminal Law Amendment Act,   1961   4.  Power to declare certain publications forfeited 
  "
22,"Section 5 in The Criminal Law Amendment Act,   1961",Section 5,https://indiankanoon.org/doc/313868/,TheCriminalLawAmendmentAct,1961,313868,https://indiankanoon.org/doc/258943/,258943,"
    Central Government Act  Section 5 in The Criminal Law Amendment Act,   1961   5.  Application to High Court to set aside 
  "
23,"Section 3 in The Criminal Law Amendment Act,   1961",Section 3,https://indiankanoon.org/doc/1211562/,TheCriminalLawAmendmentAct,1961,1211562,https://indiankanoon.org/doc/258943/,258943,"
    Central Government Act  Section 3 in The Criminal Law Amendment Act,   1961   3.  Statements, etc., in a notified area prejudicial 
  "
24,"Section 2 in The Criminal Law Amendment Act,   1961",Section 2,https://indiankanoon.org/doc/496978/,TheCriminalLawAmendmentAct,1961,496978,https://indiankanoon.org/doc/258943/,258943,"
    Central Government Act  Section 2 in The Criminal Law Amendment Act,   1961   2.  Questioning the territorial integrity or frontiers 
  "
25,"Section 121(Amendment) in The Income- Tax Act,   1995",Section 121(Amendment),https://indiankanoon.org/doc/1083557/,The Income- Tax Act,1995,1083557,https://indiankanoon.org/doc/789969/,789969,"
    Central Government Act  Section 121(Amendment) in The Income- Tax Act,   1995   (Amendment
"
26,"Section 35CC(Amendment) in The Income- Tax Act,   1995",Section 35CC(Amendment),https://indiankanoon.org/doc/897422/,The Income- Tax Act,1995,897422,https://indiankanoon.org/doc/789969/,789969,"
    Central Government Act  Section 35CC(Amendment) in The Income- Tax Act,   1995   (Amendment
"
27,"The Foreigners Law (Application And Amendment) Act,   1962",,https://indiankanoon.org/docfragment/8167/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1962%20todate%3A%2031-12-1962%20sortby%3A%20mostrecent,The Foreigners Law Act,1962,8167,,,"
    Central Government Act  The Foreigners Law (Application And Amendment) Act,   1962 
  THE FOREIGNERS LAW (APPLICATION AND AMENDMENT ... called the Foreigners Law (Application and Amendment) Act,  1962 . 



   2.   Application 
  "
28,"The Land Acquisition (Amendment) Act,   1962",,https://indiankanoon.org/docfragment/41392/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1962%20todate%3A%2031-12-1962%20sortby%3A%20mostrecent,The Land Acquisition Act,1962,41392,,,"
    Central Government Act  The Land Acquisition (Amendment) Act,   1962 
  THE LAND ACQUISITION (AMENDMENT ... title. This Act may be called the Land Acquisition (Amendment) Act,  1962 . 2 to Amendments to the Land Acquisition 
  "
29,"Section 8 in The Land Acquisition (Amendment) Act,   1962",Section 8,https://indiankanoon.org/doc/1695691/,The Land Acquisition Act,1962,1695691,https://indiankanoon.org/doc/41392/,41392,"
    Central Government Act  Section 8 in The Land Acquisition (Amendment) Act,   1962   8.  Repeal and saving.   (1)   The Land Acquisition ... Amendment) Ordinance,  1962  (3 of  1962  ), is hereby repealed.     (2)   Notwithstanding such repeal, anything done or any action taken under 
  "
30,"Section 7 in The Land Acquisition (Amendment) Act,   1962",Section 7,https://indiankanoon.org/doc/1423333/,The Land Acquisition Act,1962,1423333,https://indiankanoon.org/doc/41392/,41392,"
    Central Government Act  Section 7 in The Land Acquisition (Amendment) Act,   1962   7.  Validation of certain acquisitions. Notwithstanding any judgment 
  "
31,"Section 1 in The Land Acquisition (Amendment) Act,   1962",Section 1,https://indiankanoon.org/doc/400355/,The Land Acquisition Act,1962,400355,https://indiankanoon.org/doc/41392/,41392,"
    Central Government Act  Section 1 in The Land Acquisition (Amendment) Act,   1962   1.  Short title. This Act may be called ... Land Acquisition (Amendment) Act,  1962 . 2 to Amendments to the Land Acquisition 
  "
32,"Section 4 in The Foreigners Law (Application And Amendment) Act,   1962",Section 4,https://indiankanoon.org/doc/877685/,The Foreigners Law Act,1962,877685,https://indiankanoon.org/doc/8167/,8167,"
    Section 4 in The Foreigners Law (Application And Amendment) Act,   1962   4.  Repeal and saving.   (1)   The Foreigners Law (Application ... Amendment) Ordinance,  1962  (5 of  1962  ) is hereby repealed.     (2)   Notwithstanding such repeal, anything done or any action taken under 
  "
33,"Section 3 in The Foreigners Law (Application And Amendment) Act,   1962",Section 3,https://indiankanoon.org/doc/470623/,The Foreigners Law Act,1962,470623,https://indiankanoon.org/doc/8167/,8167,"
    Section 3 in The Foreigners Law (Application And Amendment) Act,   1962   3.  [ Amendment
"
34,"Section 2 in The Foreigners Law (Application And Amendment) Act,   1962",Section 2,https://indiankanoon.org/doc/121672/,The Foreigners Law Act,1962,121672,https://indiankanoon.org/doc/8167/,8167,"
    Section 2 in The Foreigners Law (Application And Amendment) Act,   1962   2.  Application 
  "
35,"Section 1 in The Foreigners Law (Application And Amendment) Act,   1962",Section 1,https://indiankanoon.org/doc/1250554/,The Foreigners Law Act,1962,1250554,https://indiankanoon.org/doc/8167/,8167,"
    Section 1 in The Foreigners Law (Application And Amendment) Act,   1962   1.  Short title. This Act may be called ... Foreigners Law (Application and Amendment
"
36,"The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965",,https://indiankanoon.org/docfragment/106388/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1965%20todate%3A%2031-12-1965%20sortby%3A%20mostrecent,The Taxation Laws Act,1965,106388,,,"
    Central Government Act  The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965 
  THE TAXATION LAWS (AMENDMENT AND MISCELLANEOUS PROVISIONS ... title. This Act may be called the Taxation Laws (Amendment and Miscellaneous Provisions)' Act,  1965 . 



   8.   Exemption from 
  "
37,"Section 8 in The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965",Section 8,https://indiankanoon.org/doc/238152/,The Taxation Laws Act,1965,238152,https://indiankanoon.org/doc/106388/,106388,"
    Central Government Act  Section 8 in The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965   8.  Exemption from 
  "
38,"Section 9 in The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965",Section 9,https://indiankanoon.org/doc/1102194/,The Taxation Laws Act,1965,1102194,https://indiankanoon.org/doc/106388/,106388,"
    Central Government Act  Section 9 in The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965   9.  Repeal and saving ... Taxation Laws (Amendment and Miscellaneous Provisions) Ordinance,  1965  (5 of  1965  ) is, hereby repealed.     (2)   Notwithstanding such repeal, anything done 
  "
39,"Section 1 in The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965",Section 1,https://indiankanoon.org/doc/560886/,The Taxation Laws Act,1965,560886,https://indiankanoon.org/doc/106388/,106388,"
    Central Government Act  Section 1 in The Taxation Laws (Amendment And Miscellaneous Provisions) Act,   1965   1.  Short title. This ... called the Taxation Laws (Amendment and Miscellaneous Provisions 
  "
40,"The Anti- Corruption Laws (Amendment) Act,   1967",,https://indiankanoon.org/docfragment/506831/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1967%20todate%3A%2031-12-1967%20sortby%3A%20mostrecent,The Anti- Corruption Laws Act,1967,506831,,,"
    Central Government Act  The Anti- Corruption Laws (Amendment) Act,   1967 
  THE ANTI- CORRUPTION LAWS (AMENDMENT ... This Act may be called the Anti- Corruption Laws (Amendment) Act,  1967 .     (2)   It shall be deemed to have come 
  "
41,"Section 3 in The Anti- Corruption Laws (Amendment) Act,   1967",Section 3,https://indiankanoon.org/doc/1086111/,The Anti- Corruption Laws Act,1967,1086111,https://indiankanoon.org/doc/506831/,506831,"
    Government Act  Section 3 in The Anti- Corruption Laws (Amendment) Act,   1967   3.    (1)   Repeal and saving. The Anti- Corruption ... Laws (Amendment) Ordinance,  1967  (3 of  1967  ) is hereby repealed.     (2)   Notwithstanding such repeal, anything done or any action taken 
  "
42,"Section 2 in The Anti- Corruption Laws (Amendment) Act,   1967",Section 2,https://indiankanoon.org/doc/487595/,The Anti- Corruption Laws Act,1967,487595,https://indiankanoon.org/doc/506831/,506831,"
    Government Act  Section 2 in The Anti- Corruption Laws (Amendment) Act,   1967   2.    (1)   Amendment of anti- corruption ... section 6 (2) (c) of the Anti- Corruption Laws (Amendment) Act,  1964  (40 of  1964  ). (hereinafter referred 
  "
43,"Section 1 in The Anti- Corruption Laws (Amendment) Act,   1967",Section 1,https://indiankanoon.org/doc/970419/,The Anti- Corruption Laws Act,1967,970419,https://indiankanoon.org/doc/506831/,506831,"
    Government Act  Section 1 in The Anti- Corruption Laws (Amendment) Act,   1967   1.    (1)   Short title and commencement. This ... called the Anti- Corruption Laws (Amendment) Act,  1967 .     (2)   It shall be deemed to have come into force 
  "
44,"The Coal Bearing Areas (Acquisition And Development) Amendment Andvalidation Act,   1971",,https://indiankanoon.org/docfragment/292060/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1971%20todate%3A%2031-12-1971%20sortby%3A%20mostrecent,The Coal Bearing Areas Amendment Andvalidation Act,1971,292060,,,"
    Government Act  The Coal Bearing Areas (Acquisition And Development) Amendment Andvalidation Act,   1971 
  THE COAL BEARING AREAS (ACQUISITION AND DEVELOPMENT ... AMENDMENT ANDVALIDATION ACT,   1971  ACT NO. 54 OF   1971
[ 11th December,   1971.  An Act further to amend the Coal Bearing 
  "
45,"Section 8 in The Coal Bearing Areas (Acquisition And Development) Amendment Andvalidation Act,   1971",Section 8,https://indiankanoon.org/doc/1316021/,The Coal Bearing Areas Amendment Andvalidation Act,1971,1316021,https://indiankanoon.org/doc/292060/,292060,"
    Coal Bearing Areas (Acquisition And Development) Amendment Andvalidation Act,   1971   8.  Validation of certain acquisitions.   (1)   Notwithstanding any judgment, decree 
  "
46,"The Union Territories Taxation Laws (Amendment) Act,   1971",,https://indiankanoon.org/docfragment/281378/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1971%20todate%3A%2031-12-1971%20sortby%3A%20mostrecent,The Union Territories Taxation Laws Act,1971,281378,,,"
    Central Government Act  The Union Territories Taxation Laws (Amendment) Act,   1971 
  THE UNION TERRITORIES TAXATION LAWS (AMENDMENT ... called the Union Territories Taxation Laws (Amendment) Act,  1971 .     (2)   It extends to all the Union Territories;     (3)   It shall 
  "
47,"Section 3 in The Union Territories Taxation Laws (Amendment) Act,   1971",Section 3,https://indiankanoon.org/doc/338732/,The Union Territories Taxation Laws Act,1971,338732,https://indiankanoon.org/doc/281378/,281378,"
    Section 3 in The Union Territories Taxation Laws (Amendment) Act,   1971   3.  Levy and collection of additional duty 
  "
48,"Section 2 in The Union Territories Taxation Laws (Amendment) Act,   1971",Section 2,https://indiankanoon.org/doc/103527/,The Union Territories Taxation Laws Act,1971,103527,https://indiankanoon.org/doc/281378/,281378,"
    Section 2 in The Union Territories Taxation Laws (Amendment) Act,   1971   2.  Amendment of certain taxation laws. The taxation laws ... amendments specified therein: Provided that any such Amendment of a taxation law relating to the imposition 
  "
49,"Section 1 in The Union Territories Taxation Laws (Amendment) Act,   1971",Section 1,https://indiankanoon.org/doc/739227/,The Union Territories Taxation Laws Act,1971,739227,https://indiankanoon.org/doc/281378/,281378,"
    Section 1 in The Union Territories Taxation Laws (Amendment) Act,   1971   1.  Short title, extent and commencement.   (1)   This ... called the Union Territories Taxation Laws (Amendment) Act,  1971 .     (2)   It extends to all the Union Territories;     (3)   It shall 
  "
50,"Section 1 in The Coal Bearing Areas (Acquisition And Development) Amendment Andvalidation Act,   1971",Section 1,https://indiankanoon.org/doc/1481942/,The Coal Bearing Areas Amendment Andvalidation Act,1971,1481942,https://indiankanoon.org/doc/292060/,292060,"
    Coal Bearing Areas (Acquisition And Development) Amendment Andvalidation Act,   1971   1.  Short title. This Act may be called the Coal ... Bearing Areas (Acquisition and Development) Amendment and Validation 
  "
51,"Section 19A(1)(Amendment) in The Coal Mines (Nationalisation) Act,   1973",Section 19A(1)(Amendment),https://indiankanoon.org/doc/532760/,The Coal Mines (Nationalisation) Act,1973,532760,https://indiankanoon.org/doc/72652/,72652,"
    Central Government Act  Section 19A(1)(Amendment) in The Coal Mines (Nationalisation) Act,   1973   (Amendment
"
52,"The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",,https://indiankanoon.org/docfragment/528174/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1978%20todate%3A%2031-12-1978%20sortby%3A%20mostrecent,The Deposit Insurance Corporation Act,1978,528174,,,"
    Central Government Act  The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978 
  THE DEPOSIT INSURANCE CORPORATION (AMENDMENT AND MISCELLANEOUSPROVISIONS ... This Act may be called the Deposit Insurance Corporation (Amendment and Miscellaneous Provisions) Act,  1978 .     (2)   It shall come into 
  "
53,"Section 7 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 7,https://indiankanoon.org/doc/944072/,The Deposit Insurance Corporation Act,1978,944072,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 7 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   7.  Power of Central Government 
  "
54,"Section 6 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 6,https://indiankanoon.org/doc/884654/,The Deposit Insurance Corporation Act,1978,884654,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 6 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   6.  Payment of amount 
  "
55,"Section 5 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 5,https://indiankanoon.org/doc/969934/,The Deposit Insurance Corporation Act,1978,969934,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 5 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   5.  General effect of merger 
  "
56,"Section 4 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 4,https://indiankanoon.org/doc/1346822/,The Deposit Insurance Corporation Act,1978,1346822,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 4 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   4.  Merger of the undertaking ... immediately before the commencement of the Deposit Insurance Corporation (Amendment and Miscellaneous Provisions) Act,  1978 ;     (b)   render defective any suit 
  "
57,"Section 3 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 3,https://indiankanoon.org/doc/1881551/,The Deposit Insurance Corporation Act,1978,1881551,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 3 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   3.  Undertaking of the Company 
  "
58,"Section 2 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 2,https://indiankanoon.org/doc/1472584/,The Deposit Insurance Corporation Act,1978,1472584,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 2 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   2.  Definitions. In this Act, unless 
  "
59,"Section 2(d) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 2(d),https://indiankanoon.org/doc/1979173/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,1979173,https://indiankanoon.org/doc/528174/,528174,"
    Section 2(d) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (d)  words and expressions used in this 
  "
60,"Section 7(6)(c) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 7(6)(c),https://indiankanoon.org/doc/895605/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,895605,https://indiankanoon.org/doc/528174/,528174,"
    Section 7(6)(c) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (c)  the disposal of the books 
  "
61,"Section 2(c) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 2(c),https://indiankanoon.org/doc/1317162/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,1317162,https://indiankanoon.org/doc/528174/,528174,"
    Section 2(c) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (c) "" re- named Corporation"" means the Corporation 
  "
62,"Section 2(b) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 2(b),https://indiankanoon.org/doc/203970/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,203970,https://indiankanoon.org/doc/528174/,528174,"
    Section 2(b) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (b) "" Corporation"" means the Deposit Insurance Corporation 
  "
63,"Section 2(a) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 2(a),https://indiankanoon.org/doc/31031/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,31031,https://indiankanoon.org/doc/528174/,528174,"
    Section 2(a) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (a) "" Company"" means the Credit Guarantee Corporation 
  "
64,"Section 1 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 1,https://indiankanoon.org/doc/1419080/,The Deposit Insurance Corporation Act,1978,1419080,https://indiankanoon.org/doc/528174/,528174,"
    Government Act  Section 1 in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   1.  Short title and commencement ... This Act may be called the Deposit Insurance Corporation (Amendment and Miscellaneous Provisions) Act,  1978 .     (2)   It shall come into 
  "
65,"Section 1(2) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 1(2),https://indiankanoon.org/doc/788832/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,788832,https://indiankanoon.org/doc/528174/,528174,"
    Section 1(2) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (2)  It shall come into force 
  "
66,"Section 1(1) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978",Section 1(1),https://indiankanoon.org/doc/331352/,The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,1978,331352,https://indiankanoon.org/doc/528174/,528174,"
    Section 1(1) in The Deposit Insurance Corporation (Amendment And Miscellaneousprovisions) Act,   1978   (1)  This Act may be called ... Deposit Insurance Corporation (Amendment and Miscellaneous Provisions 
  "
